,Tweets,Subjectivity,Polarity,Analysis
0,"RT @whonehru: Abhay MC doctors and rest of the medical staff is over burden by the work,  on top of that Bhadwa of Congress are hording Oxy…",0.25,0.25,Positive
1,"RT @KapilSibal: Modi ji : Where are you ? 

Why :

No press conference ;
address to the nation ;
kind words for those who lost lives for la…",0.9,0.6,Positive
2,RT @ss_suryawanshi: Prime minister Narendra Modi phoned Maharashtra chief minister Uddhav Thackeray &amp; appreciated the work of Maharashtra g…,0.1,0.2,Positive
3,"RT @srivatsayb: 5 Rallies in Kerala, 7 Rallies in TN, 7 Rallies in Assam, 17 Rallies in Bengal

Has anyone seen PM Modi visit 1 Hospital? 1…",0.0,0.0,Neutral
4,Are you like this by birth or Rahul Gandhi gave you special syrup.,0.5714285714285714,0.35714285714285715,Positive
5,RT @Swamy39: Narendra Modi's COVID catastrophe brings India to its knees https://t.co/KXgJK583FW : PMO should answer such criticism instead…,0.5,0.0,Neutral
6,@bhaktokapapa7 @Xn6fw7GHLWS6tm9 @GSkhansir Doesn't matter to me whom you like or not....try your best to defame Mod… https://t.co/p2nJQsvsTa,0.3,1.0,Positive
7,"@MKandloor @VeeryaSorry No they don't hate NRI ,BJP, Modi or India they simply Hindu vote consolidation so in near… https://t.co/bEXjZG6SZm",0.6285714285714286,-0.4,Negative
8,RT @BJP4SuratCity: સુરત શહેર ના અલગ અલગ વેક્સિનેશન સેન્ટરો પર ભારતીય જનતા પાર્ટીના કાર્યકરો હાજર રહીને લોકોને વેક્સિન અપાવી અને માર્ગદર્શન…,0.0,0.0,Neutral
9,RT @AabidMagami: Modi once said that he will pick is jhola and leave #JholaUthaoModiji https://t.co/2hCo995q4i,0.0,0.0,Neutral
10,"RT @INC_akhter: Modi 's pandemic choice !
Protect his image or protect India , 'HE CHOSE HIMSELF ' !!

#JholaUthaoModiji

 https://t.co/NJL…",0.0,0.0,Neutral
11,"RT @GauravPandhi: Meanwhile, @CNN's India partner @CNNnews18 maintains pin drop silence, trying every bit to exonerate Modi. @cnni",0.0,0.0,Neutral
12,"RT @seekingsrishti: Here is my report supported by @NFI_India and published in @Article14live, that I am very proud of. Without this fellow…",1.0,1.0,Positive
13,@ManojRavat16 @BeechBazar @yogrishiramdev Nahi Bta Payege Kyuki Aayega to Modi hi....,0.0,0.0,Neutral
14,"Modi Virodhi Kaha Bhaag Gye 😲😂😂😂😂

Modi Istifa Do, Ye Do, Wo Do...
Mangne Ki Aadat Nhi Jaati Kuch Logo Ki.. 😂😂😂

🚩🚩… https://t.co/8F5Wasx5yN",0.0,0.0,Neutral
15,"RT @cnni: While hospitals plead for life-saving oxygen and Covid-19 patients die in their thousands, India's Prime Minister Narendra Modi i…",0.0,0.0,Neutral
16,#मोदीजी_इस्तीफा_दो,0.0,0.0,Neutral
17,"RT @srivatsayb: 5 Rallies in Kerala, 7 Rallies in TN, 7 Rallies in Assam, 17 Rallies in Bengal

Has anyone seen PM Modi visit 1 Hospital? 1…",0.0,0.0,Neutral
18,"RT @cnni: While hospitals plead for life-saving oxygen and Covid-19 patients die in their thousands, India's Prime Minister Narendra Modi i…",0.0,0.0,Neutral
19,RT @HansrajMeena: Narendra Modi totally failed Prime Minister. #मोदीजी_इस्तीफा_दो,0.3,-0.5,Negative
20,"RT @ndtvfeed: ""India Surviving Because Of Nehru-Gandhi"" Family: Sena To Modi Government https://t.co/aqqPdM9osJ https://t.co/OPbYH1eUM0",0.0,0.0,Neutral
21,RT @ShefVaidya: Interesting read. What Explains PM Narendra Modi’s Silence Despite Criticism https://t.co/570TGhIXCK,0.5,0.5,Positive
22,RT @NarundarM: RT if you agree that death certificates too should have a photo of PM Modi.,0.0,0.0,Neutral
